               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098246,            0.030606,            0.042529,          0.00048528,            0.072917,          0.00024132,          3.5995e-05,               0.104,            0.024255,            0.046561,             0.00024,             0.00024,             0.09784
                   1,             0.10161,             0.02917,            0.043628,          0.00025799,            0.041667,          0.00012208,          1.2208e-05,            0.099384,            0.023158,              0.0456,          0.00048879,          0.00048879,            0.095589
                   2,            0.097575,            0.028254,            0.042672,           0.0046942,             0.03125,          0.00095865,           0.0001795,            0.091823,            0.022666,            0.044712,          0.00073272,          0.00073272,            0.093333
                   3,            0.089652,             0.02818,            0.041363,          0.00096044,              0.1875,          0.00070522,           0.0001742,            0.086311,            0.022015,            0.044281,           0.0009682,           0.0009682,            0.091068
                   4,             0.08522,            0.029265,            0.040071,          0.00039476,            0.083333,          0.00024552,          8.3988e-05,            0.082363,            0.021526,            0.044168,           0.0011918,           0.0011918,            0.088792
                   5,            0.084123,            0.030362,            0.040543,          0.00066021,             0.10417,            0.000388,          7.6318e-05,            0.080563,            0.020882,            0.043865,           0.0014002,           0.0014002,              0.0865
                   6,            0.073144,            0.030444,            0.037067,          0.00090636,             0.09375,          0.00061046,          7.1103e-05,            0.077878,            0.020675,            0.043229,           0.0015905,           0.0015905,             0.08419
                   7,             0.07443,            0.029929,            0.037254,          0.00036904,            0.072917,          0.00022366,          6.5593e-05,            0.073931,            0.020705,            0.042913,             0.00176,             0.00176,             0.08186
                   8,            0.064973,            0.033591,            0.035695,           0.0012981,             0.03125,            0.000449,          0.00010415,            0.070016,            0.020583,            0.042367,           0.0019065,           0.0019065,            0.079506
                   9,            0.066661,            0.028192,            0.036587,           0.0014254,              0.0625,           0.0010135,          0.00018084,            0.064811,             0.02075,            0.041378,           0.0020281,           0.0020281,            0.077128
                  10,             0.06101,            0.027242,            0.033527,           0.0068651,             0.03125,           0.0031502,             0.00052,            0.063059,            0.020346,            0.040422,           0.0021235,           0.0021235,            0.074724
                  11,            0.059078,            0.029438,            0.031378,           0.0074281,             0.09375,           0.0060701,           0.0010753,            0.060481,            0.020139,            0.040092,           0.0021918,           0.0021918,            0.072292
                  12,            0.060328,            0.031035,             0.03364,           0.0077116,            0.098214,           0.0059099,           0.0011806,            0.058048,             0.01979,            0.039326,           0.0022325,           0.0022325,            0.069833
                  13,             0.05378,            0.028175,            0.029581,            0.017659,            0.098214,           0.0096675,           0.0018185,            0.055835,            0.019387,            0.038752,            0.002246,            0.002246,            0.067346
                  14,            0.059513,            0.030682,            0.030165,             0.26645,            0.098214,            0.014606,           0.0032488,            0.060307,            0.018665,            0.038145,           0.0022329,           0.0022329,            0.064833
                  15,             0.05455,            0.026994,            0.029612,            0.033635,             0.28075,            0.032689,           0.0073821,            0.055465,            0.018574,            0.037742,           0.0021945,           0.0021945,            0.062295
                  16,             0.05078,            0.027198,            0.027962,             0.83109,            0.034754,            0.030395,           0.0064134,            0.054001,            0.018252,             0.03734,           0.0021326,           0.0021326,            0.059733
                  17,            0.055571,            0.027024,            0.029349,             0.31344,             0.27728,             0.05822,            0.019715,            0.052863,            0.017977,             0.03714,           0.0020494,           0.0020494,            0.057149
                  18,            0.051135,            0.026439,            0.028182,             0.32572,             0.46677,             0.08455,            0.023438,            0.051301,            0.017721,            0.036816,           0.0019479,           0.0019479,            0.054548
                  19,            0.052151,             0.02708,            0.029176,             0.34541,               0.313,             0.09299,            0.029643,            0.052997,            0.017191,            0.036519,           0.0018312,           0.0018312,            0.051931
                  20,            0.047178,            0.025219,            0.026484,             0.15508,             0.53223,             0.10332,             0.03124,             0.05326,            0.016919,            0.036317,            0.001703,            0.001703,            0.049303
                  21,            0.048682,            0.024239,            0.026213,              0.3914,             0.40427,             0.14381,            0.055412,            0.052977,            0.016809,            0.035936,           0.0015674,           0.0015674,            0.046667
                  22,            0.050948,            0.025405,            0.027801,             0.37563,             0.40427,             0.13456,            0.041873,            0.051749,             0.01676,            0.035817,           0.0014286,           0.0014286,            0.044029
                  23,            0.048531,            0.025261,            0.026743,             0.37099,             0.40427,             0.13588,            0.044098,            0.050132,            0.016686,             0.03572,           0.0012914,           0.0012914,            0.041391
                  24,            0.046207,             0.02526,             0.02759,             0.61579,             0.30952,             0.17629,            0.055756,            0.048017,            0.016353,            0.035379,           0.0011603,           0.0011603,             0.03876
                  25,            0.042597,            0.024913,            0.025007,             0.62361,             0.30187,             0.18387,              0.0761,            0.048974,            0.016214,            0.035255,           0.0010403,           0.0010403,             0.03614
                  26,            0.044437,             0.02236,            0.025652,             0.63011,             0.30159,             0.18909,            0.067331,            0.047748,            0.016071,            0.035124,          0.00093622,          0.00093622,            0.033536
                  27,            0.043184,            0.023197,            0.024225,             0.63394,             0.27381,              0.1905,            0.075358,            0.046869,            0.016015,            0.034887,          0.00085295,          0.00085295,            0.030953
                  28,            0.040722,            0.025525,            0.025605,             0.65292,             0.30952,             0.24599,            0.084905,            0.046767,            0.015758,            0.034697,           0.0007952,           0.0007952,            0.028395
                  29,            0.042721,            0.022738,            0.024733,             0.65593,             0.21738,              0.2091,            0.078737,            0.046571,            0.015584,            0.034665,          0.00076746,          0.00076746,            0.025867
