               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037118,            0.018594,            0.021031,             0.79796,             0.37636,              0.4612,              0.2475,            0.036682,            0.012685,            0.017698,             0.00131,             0.00131,             0.08821
                   1,            0.038968,            0.017154,            0.019125,             0.69477,             0.40494,             0.39013,             0.17256,            0.042772,            0.011909,            0.016349,           0.0026235,           0.0026235,            0.076324
                   2,            0.046881,            0.016541,            0.019822,             0.62488,             0.31427,             0.29461,            0.097283,            0.051759,            0.011035,            0.014766,           0.0039112,           0.0039112,            0.064411
                   3,            0.050286,             0.01566,            0.017339,             0.49151,             0.61032,             0.43599,             0.17469,            0.045291,            0.011584,             0.01383,           0.0051539,           0.0051539,            0.052454
                   4,            0.051624,            0.015618,            0.015718,             0.71712,             0.33987,             0.41304,              0.1841,            0.054338,            0.010659,             0.01262,           0.0063336,           0.0063336,            0.040434
                   5,            0.052226,            0.015014,            0.016917,             0.67129,             0.59981,             0.55532,             0.20657,            0.043786,            0.011532,            0.012505,           0.0074331,           0.0074331,            0.028333
                   6,            0.051756,            0.015188,            0.014544,             0.51121,             0.47232,             0.40447,              0.1221,            0.050757,            0.010429,            0.010591,           0.0084368,           0.0084368,            0.016137
                   7,            0.050834,            0.015198,            0.012049,             0.75033,             0.53204,             0.56332,             0.21942,             0.04495,            0.011347,           0.0093688,           0.0088442,           0.0088442,           0.0088442
                   8,            0.048627,            0.014118,            0.010992,             0.61034,             0.51136,              0.4818,             0.16529,            0.051205,           0.0094371,           0.0089071,           0.0088442,           0.0088442,           0.0088442
                   9,            0.045841,            0.014387,            0.011699,             0.81962,             0.55605,             0.69157,             0.31471,            0.038068,            0.010039,           0.0090942,           0.0085111,           0.0085111,           0.0085111
                  10,            0.043887,            0.013797,            0.009897,             0.74913,             0.68866,             0.66601,              0.3112,            0.039716,           0.0097657,           0.0066252,            0.008145,            0.008145,            0.008145
                  11,            0.039066,            0.012736,           0.0081764,             0.80911,             0.67709,             0.72803,             0.35555,            0.033966,           0.0096452,           0.0069276,             0.00775,             0.00775,             0.00775
                  12,            0.037061,             0.01378,           0.0079795,              0.8534,             0.66376,             0.71588,              0.3026,            0.032497,           0.0093738,           0.0053145,           0.0073303,           0.0073303,           0.0073303
                  13,            0.036552,            0.013083,            0.007114,             0.84476,             0.68972,             0.76982,             0.38097,             0.03305,           0.0090803,           0.0048166,           0.0068906,           0.0068906,           0.0068906
                  14,            0.036385,            0.013362,           0.0073647,             0.89322,             0.71286,             0.78444,              0.3604,            0.033014,           0.0090028,           0.0058007,           0.0064356,           0.0064356,           0.0064356
                  15,            0.033471,            0.012191,           0.0064497,             0.92018,             0.72103,             0.84285,              0.3929,            0.031311,           0.0090062,           0.0048021,           0.0059704,           0.0059704,           0.0059704
                  16,            0.032825,            0.012913,           0.0061382,             0.91021,             0.62139,             0.87313,             0.46979,            0.028755,           0.0090463,           0.0048989,              0.0055,              0.0055,              0.0055
                  17,            0.031541,            0.012369,           0.0051135,             0.90538,             0.68126,             0.89905,             0.35989,            0.030357,           0.0087282,           0.0042648,           0.0050296,           0.0050296,           0.0050296
                  18,            0.029864,            0.012638,           0.0043948,             0.61342,             0.97207,             0.94104,             0.50898,            0.027231,           0.0083999,           0.0037846,           0.0045644,           0.0045644,           0.0045644
                  19,            0.029955,            0.012209,           0.0047812,              0.6803,             0.96765,             0.96957,             0.49715,            0.028308,           0.0083287,            0.003124,           0.0041094,           0.0041094,           0.0041094
                  20,            0.027191,            0.011928,           0.0041164,             0.70944,             0.98636,             0.97405,              0.4983,            0.026899,           0.0082171,           0.0028019,           0.0036697,           0.0036697,           0.0036697
                  21,            0.027315,             0.01143,           0.0037125,             0.77919,             0.97244,              0.9719,             0.55616,            0.025059,           0.0080442,            0.003554,             0.00325,             0.00325,             0.00325
                  22,            0.026652,            0.011656,           0.0034175,             0.75234,             0.97661,             0.97189,             0.53565,            0.025387,           0.0079767,           0.0037703,            0.002855,            0.002855,            0.002855
                  23,            0.026049,            0.011974,           0.0031665,              0.7532,             0.97482,             0.96931,             0.55158,            0.024189,           0.0078538,           0.0033644,           0.0024889,           0.0024889,           0.0024889
                  24,            0.026336,            0.011267,            0.003206,             0.79073,             0.96371,             0.95761,             0.55741,            0.023001,           0.0079207,           0.0032053,           0.0021558,           0.0021558,           0.0021558
                  25,            0.025316,            0.010852,           0.0030676,             0.83436,             0.96471,             0.96099,             0.52625,            0.023568,           0.0078291,           0.0030934,           0.0018594,           0.0018594,           0.0018594
                  26,            0.024608,             0.01087,           0.0029885,              0.8474,             0.97299,             0.97084,              0.5479,            0.022888,           0.0076999,           0.0027673,           0.0016029,           0.0016029,           0.0016029
                  27,            0.024278,            0.011055,           0.0031344,             0.85341,             0.96153,             0.96673,             0.56826,            0.022422,           0.0076372,           0.0029598,            0.001389,            0.001389,            0.001389
                  28,            0.023768,            0.011246,           0.0029981,             0.86537,             0.96329,             0.97031,             0.59706,             0.02285,           0.0075639,           0.0029142,           0.0012202,           0.0012202,           0.0012202
                  29,            0.023026,            0.010813,           0.0026897,             0.87652,             0.95783,             0.97374,              0.5784,            0.022527,           0.0075172,           0.0026246,           0.0010983,           0.0010983,           0.0010983
